row_id,campaign_name,Platform,hotel,Date,impressions,Clicks,spend_idr,conversions,bookings_generated,Revenue_Generated_IDR,ad_creative_id,target_audience
59, Valentine Weekend,Meta Ads,The Mulia Nusa Dua,2024-03-03,5127,80,21048158.0,1,0,0,CRE020,Broad
60,Summer Escape 2024,Meta Ads,Bisma Eight,2024-01-27,29146,1371,21296281.0,139,53,87909086,CRE027,Broad
61,Loyalty Member Deal,Email Campaign,The Layar Seminyak,2024-02-13,77267,1106,13756535.0,61,44,277058540,CRE027,Retargeting
62, Long Weekend Promo,Organic,The Layar Seminyak,2024-03-22,62686,2856,20121521.0,308,254,1766591844,,Interest
63,Summer Escape 2024,Email Campaign,Komaneka Bisma,2024-01-23,67358,3344,7406972.0,178,121,258744827,CRE032,Interest
64, Valentine Weekend,TikTok Ads,The Mulia Nusa Dua,2024-02-27,34553,2030,4358196.0,121,62,231180764,CRE036,Interest
65,Long Weekend Promo,Email Campaign,Alaya Ubud,2024-01-13,74195,4461,6756786.0,500,179,465894935,CRE031,Interest
66,Long Weekend Promo,TikTok Ads,Alaya Ubud,2024-01-28,10917,660,17363719.0,20,11,77443916,CRE042,Retargeting
67, Flash Sale 48H,Email Campaign,Komaneka Bisma,2024-03-23,6737,128,9409398.0,14,8,45812112,CRE008,Broad
68,Loyalty Member Deal ,Google Ads,Komaneka Bisma,2024-01-26,52962,1851,10494889.0,116,38,130436368,CRE042,Interest
69,Valentine Weekend ,TikTok Ads,Katamama Resort,2024-01-18,40569,2764,20817665.0,112,37,228350939,CRE024,Broad
70,Eid Holiday Package,Google Ads,The Mulia Nusa Dua,2024-03-22,669,46,9992224.0,3,1,2017718,CRE032,Interest
71,Loyalty Member Deal ,Organic,Alaya Ubud,2024-01-09,22653,599,12954768.0,42,23,153310295,CRE004,Broad
72,Flash Sale 48H,Organic,Komaneka Bisma,2024-03-22,71923,1360,4880290.0,80,61,189542189,CRE017,Retargeting
73,Long Weekend Promo,Google Ads,The Layar Seminyak,2024-02-05,42867,3325,661182.0,218,91,546496496,CRE020,Lookalike
74,Eid Holiday Package,Google Ads,Katamama Resort,2024-03-11,72399,3279,,323,105,703155810,CRE045,
75,Long Weekend Promo,Google Ads,Bisma Eight,2024-02-29,16338,271,11814485.0,13,5,28149085,,Retargeting
76,Valentine Weekend,Meta Ads,Katamama Resort,2024-03-25,44742,814,4744567.0,35,10,53278550,CRE011,Retargeting
77,Loyalty Member Deal,Google Ads,The Mulia Nusa Dua,2024-01-28,1126,41,13013121.0,2,0,0,CRE001,Broad
78,Long Weekend Promo ,TikTok Ads,Katamama Resort,2024-03-20,52743,1652,9360449.0,158,104,402940512,CRE047,
79,Valentine Weekend,Meta Ads,Bisma Eight,2024-01-15,13116,222,11384372.0,11,7,30925482,CRE037,Retargeting
80,loyalty member deal,Organic,The Layar Seminyak,2024-02-20,15734,970,11293276.0,74,52,97786416,CRE045,Interest
81,Summer Escape 2024,TikTok Ads,Bisma Eight,2024-01-27,73212,3594,16386729.0,148,79,209035027,,Retargeting
82,SUMMER ESCAPE 2024,Organic,Katamama Resort,2024-02-03,26394,349,6063436.0,37,29,205588511,CRE021,Retargeting
83,long weekend promo,Meta Ads,The Mulia Nusa Dua,2024-03-11,32672,1731,16902006.0,94,64,360645312,CRE026,Retargeting
84,Eid Holiday Package,TikTok Ads,The Layar Seminyak,2024-03-25,71056,4211,16869465.0,450,185,1281098545,CRE035,Interest
85,Valentine Weekend,Organic,The Layar Seminyak,2024-03-04,40955,3067,14943523.0,90,60,246997800,CRE002,Broad
86,Eid Holiday Package,Meta Ads,Katamama Resort,2024-02-21,55148,2080,,224,103,630095805,CRE013,Retargeting
87, Long Weekend Promo,Email Campaign,Alaya Ubud,2024-02-17,18432,322,18741959.0,8,2,4125772,CRE003,
88,Flash Sale 48H,Organic,The Mulia Nusa Dua,2024-01-10,62424,2060,20311360.0,229,152,1015890176,CRE021,Interest
89,Eid Holiday Package ,TikTok Ads,The Mulia Nusa Dua,2024-02-19,43151,1654,9858786.0,46,16,34198384,CRE043,Lookalike
90, Long Weekend Promo,TikTok Ads,The Mulia Nusa Dua,2024-03-20,45979,931,4362413.0,23,7,25771298,CRE039,Interest
91,Summer Escape 2024,TikTok Ads,Katamama Resort,2024-02-17,47666,3646,8018687.0,186,97,410582764,,Retargeting
92,Long Weekend Promo,TikTok Ads,Bisma Eight,2024-01-20,57889,4139,11210108.0,327,113,178848716,,Retargeting
93,Eid Holiday Package ,Email Campaign,The Mulia Nusa Dua,2024-02-02,8290,365,17510120.0,34,22,89939564,CRE037,Interest
94,Summer Escape 2024,Google Ads,Bisma Eight,2024-01-06,24315,292,21689200.0,7,3,14375085,CRE006,Interest
95,Long Weekend Promo,Email Campaign,Katamama Resort,2024-01-09,54366,1510,,61,26,129704874,CRE032,Lookalike
96,LOYALTY MEMBER DEAL,Meta Ads,The Mulia Nusa Dua,2024-03-13,57625,3910,20233915.0,436,243,415181052,CRE044,Interest
97,Valentine Weekend,Organic,Komaneka Bisma,2024-02-13,77370,921,5669960.0,107,74,223996890,CRE007,Lookalike
98,Loyalty Member Deal,Email Campaign,Katamama Resort,2024-01-04,7676,442,12003484.0,44,35,241379950,CRE031,
99,VALENTINE WEEKEND,Organic,The Mulia Nusa Dua,2024-01-23,33177,2163,9291399.0,170,133,464117731,CRE011,Interest
100,Flash Sale 48H ,TikTok Ads,Alaya Ubud,2024-02-28,12572,147,5045320.0,5,3,20495376,CRE020,Broad
101,Eid Holiday Package,Email Campaign,Komaneka Bisma,2024-02-11,32518,1151,10661470.0,116,71,406866849,CRE015,Retargeting
102,Long Weekend Promo,Email Campaign,The Layar Seminyak,2024-03-27,37504,2442,17638231.0,201,81,260415891,CRE040,Retargeting
103,Flash Sale 48H,Email Campaign,The Layar Seminyak,2024-03-03,67050,2978,14347897.0,356,301,559542144,CRE003,Lookalike
104,Summer Escape 2024,Email Campaign,The Mulia Nusa Dua,2024-03-02,11650,297,5306353.0,19,12,74737536,CRE020,Interest
105,Eid Holiday Package,Meta Ads,The Mulia Nusa Dua,2024-03-29,21195,914,3319344.0,51,29,135417849,CRE040,
106,Summer Escape 2024,Email Campaign,The Mulia Nusa Dua,2024-03-04,43468,2255,,229,159,861290280,CRE012,Broad
107,Long Weekend Promo,Meta Ads,Bisma Eight,2024-01-05,14322,781,13799273.0,59,49,76119687,CRE043,Lookalike
108,Flash Sale 48H,Organic,Komaneka Bisma,2024-02-08,37636,1136,7309819.0,84,50,229126750,CRE037,Retargeting
109,Summer Escape 2024,Google Ads,Komaneka Bisma,2024-02-06,48292,595,12929524.0,20,7,46845862,CRE020,
110,Summer Escape 2024,Organic,Alaya Ubud,2024-01-18,44589,567,10398692.0,43,15,106396035,CRE034,Lookalike
111,flash sale 48h,Meta Ads,The Layar Seminyak,2024-01-27,49551,2556,21891098.0,85,74,425320402,,Interest
112,Flash Sale 48H,Organic,Alaya Ubud,2024-03-10,65334,4178,19674887.0,208,155,565626930,CRE043,Lookalike
113,Flash Sale 48H ,Organic,Katamama Resort,2024-01-17,77564,5599,,521,438,2242747902,CRE020,Lookalike
114,Valentine Weekend ,Email Campaign,Alaya Ubud,2024-03-16,54444,3383,1790479.0,399,257,564172825,CRE017,
115,Loyalty Member Deal,Meta Ads,The Mulia Nusa Dua,2024-02-09,59514,4655,9014983.0,356,146,267399000,CRE022,Broad
116,Valentine Weekend,Email Campaign,Katamama Resort,2024-03-18,44000,2607,7764214.0,54,17,134896870,CRE048,Interest
117, Summer Escape 2024,Google Ads,The Mulia Nusa Dua,2024-01-31,1733,65,,4,2,13090458,,Interest
118,Eid Holiday Package,TikTok Ads,Alaya Ubud,2024-01-06,68856,4918,7779553.0,167,147,722220996,,Interest
119,Summer Escape 2024,TikTok Ads,The Layar Seminyak,2024-02-24,48102,3603,18133139.0,327,212,1388661692,CRE001,Retargeting
120,Eid Holiday Package,Organic,The Mulia Nusa Dua,2024-01-23,40594,1912,3135141.0,121,75,278197575,CRE022,Interest
121,VALENTINE WEEKEND,Organic,Bisma Eight,2024-01-08,56592,3741,7086180.0,335,135,370127880,CRE014,Interest
122,Long Weekend Promo,Meta Ads,The Layar Seminyak,2024-01-29,39331,1187,21578345.0,108,96,299523360,CRE017,Lookalike
123, Valentine Weekend,TikTok Ads,Komaneka Bisma,2024-03-16,26199,1658,18141951.0,104,66,166535490,CRE033,Broad
124,Eid Holiday Package,Organic,Komaneka Bisma,2024-01-16,36535,830,2792739.0,28,17,121272764,CRE036,Retargeting
125,Flash Sale 48H,Meta Ads,Bisma Eight,2024-03-24,4216,97,9282440.0,5,2,15855330,CRE035,Broad
126,Flash Sale 48H,TikTok Ads,The Layar Seminyak,2024-01-23,14017,1086,7379332.0,37,13,67304874,CRE009,Retargeting
127,Flash Sale 48H,Meta Ads,Komaneka Bisma,2024-03-13,74121,5642,,196,114,385204404,CRE030,Interest
128,Long Weekend Promo,Organic,The Mulia Nusa Dua,2024-01-16,70690,2343,12510325.0,110,37,206278182,CRE047,
129,Valentine Weekend,Meta Ads,Komaneka Bisma,2024-03-03,40322,2162,8662410.0,220,86,297868482,CRE048,Retargeting
130,Loyalty Member Deal ,Meta Ads,The Layar Seminyak,2024-03-04,43358,1270,23214848.0,113,47,325035550,CRE029,Broad
131,Long Weekend Promo,Email Campaign,Alaya Ubud,2024-03-26,44294,1803,9748270.0,69,38,247001368,,Lookalike
132,loyalty member deal,Email Campaign,Bisma Eight,2024-01-03,18889,699,24219872.0,61,41,148052066,CRE049,Retargeting
133,Loyalty Member Deal,Email Campaign,The Mulia Nusa Dua,2024-01-15,42419,956,24648142.0,100,46,321666592,CRE002,Retargeting
134,Summer Escape 2024,Email Campaign,Alaya Ubud,2024-02-24,53594,3995,8552914.0,149,107,471418032,CRE040,Broad
135,Valentine Weekend ,Email Campaign,The Mulia Nusa Dua,2024-03-05,9280,117,14889562.0,8,7,44369829,CRE009,Lookalike
136,Summer Escape 2024,Meta Ads,Katamama Resort,2024-01-16,32835,1064,,30,14,22672762,CRE015,Retargeting
137,Valentine Weekend,Email Campaign,Alaya Ubud,2024-03-31,14073,1114,16711164.0,60,46,75270030,,Retargeting
138,Eid Holiday Package,Organic,Komaneka Bisma,2024-03-07,13031,213,13615075.0,23,7,11152197,CRE012,Lookalike
139,flash sale 48h,TikTok Ads,The Layar Seminyak,2024-01-15,4325,248,17427527.0,28,18,69070302,CRE017,Interest
140,Eid Holiday Package,Email Campaign,The Layar Seminyak,2024-01-31,33244,1259,16254075.0,88,78,126082398,CRE033,Broad
141,Long Weekend Promo,Google Ads,Alaya Ubud,2024-02-13,60643,2913,7818799.0,330,103,431490484,CRE003,Interest
142,Eid Holiday Package,Google Ads,The Mulia Nusa Dua,2024-01-30,29776,704,22842740.0,15,11,64218418,CRE031,Lookalike
143,Flash Sale 48H,Meta Ads,Katamama Resort,2024-03-12,43742,616,17000708.0,32,16,118678000,CRE045,Retargeting
144,Long Weekend Promo,Organic,Bisma Eight,2024-01-03,36848,2239,14419341.0,222,135,802424205,CRE028,Retargeting
145,Long Weekend Promo,Organic,Katamama Resort,2024-03-16,69481,2402,7266037.0,245,107,190567321,CRE026,Interest
146,Summer Escape 2024,Email Campaign,The Layar Seminyak,2024-02-13,10995,164,,4,2,4374854,,Retargeting
147,Valentine Weekend,Email Campaign,Katamama Resort,2024-01-30,4008,300,18832745.0,20,7,20675620,CRE011,Lookalike
148, Summer Escape 2024,TikTok Ads,Komaneka Bisma,2024-03-04,655,40,20189085.0,2,1,7311058,CRE027,Retargeting
149, Loyalty Member Deal,Organic,Alaya Ubud,2024-01-31,79847,4367,808534.0,265,222,1491775620,CRE034,Interest
150,Loyalty Member Deal,Meta Ads,Katamama Resort,2024-03-02,19704,768,21997978.0,64,25,88455325,CRE035,Retargeting
151,Valentine Weekend ,Google Ads,The Mulia Nusa Dua,2024-01-17,58989,1266,5840021.0,55,25,42858425,CRE004,
152,Valentine Weekend,Email Campaign,The Layar Seminyak,2024-03-07,62186,3548,14885780.0,261,142,816726632,CRE011,Interest
153,EID HOLIDAY PACKAGE,TikTok Ads,The Layar Seminyak,2024-01-20,58363,3040,23436061.0,238,154,1030712760,CRE007,Lookalike
154,Eid Holiday Package,Meta Ads,Alaya Ubud,2024-02-20,18972,426,11445821.0,37,17,132537083,CRE009,Interest
155,Summer Escape 2024,Organic,Alaya Ubud,2024-03-19,8120,365,8369997.0,17,8,35395544,CRE033,Lookalike
156,Flash Sale 48H,Meta Ads,Alaya Ubud,2024-02-03,7007,79,17158388.0,8,4,19357172,CRE024,Broad
157,Eid Holiday Package,Organic,The Mulia Nusa Dua,2024-01-22,50167,3786,3117260.0,385,220,1177294800,CRE047,Broad
158,Long Weekend Promo,Email Campaign,The Layar Seminyak,2024-03-02,69436,1448,13473548.0,120,90,382271040,CRE025,Broad
159,Eid Holiday Package,Meta Ads,The Layar Seminyak,2024-01-02,27822,1164,22096531.0,111,92,718003788,CRE016,Interest
160,Valentine Weekend,Google Ads,Komaneka Bisma,2024-01-08,73662,1581,15966599.0,102,50,265419600,CRE014,Retargeting
161,eid holiday package,Organic,The Mulia Nusa Dua,2024-01-20,19720,531,16167937.0,42,25,42944250,CRE026,Retargeting
162,Long Weekend Promo,Meta Ads,The Layar Seminyak,2024-03-30,13842,202,12085881.0,20,7,33620678,CRE028,Interest
163, Flash Sale 48H,TikTok Ads,Katamama Resort,2024-03-20,38246,2766,1364813.0,79,40,113482120,CRE049,Lookalike
164,Eid Holiday Package,TikTok Ads,Katamama Resort,2024-01-10,28337,769,13500383.0,70,33,72631317,CRE018,Broad
165,Flash Sale 48H,Email Campaign,The Layar Seminyak,2024-03-26,69183,5192,12878384.0,270,172,512269320,CRE003,Lookalike
166,Long Weekend Promo ,TikTok Ads,Katamama Resort,2024-01-09,62558,1779,15373048.0,68,43,307050143,CRE045,Broad
167,Long Weekend Promo,TikTok Ads,The Layar Seminyak,2024-01-08,75554,1680,,187,147,363002535,CRE023,Lookalike
168,Loyalty Member Deal,Meta Ads,The Layar Seminyak,2024-01-19,75761,5127,20383292.0,553,303,1811152200,CRE028,Retargeting
169,valentine weekend,Google Ads,The Layar Seminyak,2024-03-25,24373,1793,6438326.0,140,77,248183397,,Broad
170,Flash Sale 48H,TikTok Ads,The Layar Seminyak,2024-01-30,19204,786,,41,20,127977040,CRE005,Interest
171,Flash Sale 48H ,Google Ads,The Mulia Nusa Dua,2024-03-02,66259,1398,12552177.0,130,66,415400568,CRE043,Retargeting
172,VALENTINE WEEKEND,TikTok Ads,The Layar Seminyak,2024-03-27,7255,79,22012426.0,3,1,4256624,CRE026,Interest
173,loyalty member deal,Organic,Alaya Ubud,2024-01-11,37319,1090,15928096.0,93,38,149897080,CRE031,Broad
174, Long Weekend Promo,Email Campaign,Bisma Eight,2024-02-19,35219,587,20480351.0,65,34,167579574,CRE010,Lookalike
175,Eid Holiday Package,TikTok Ads,Bisma Eight,2024-02-26,12053,599,14131871.0,40,22,87041988,CRE032,Lookalike
176,LOYALTY MEMBER DEAL,Google Ads,Bisma Eight,2024-01-14,63746,3506,6553285.0,181,144,1128962880,,Interest
177,Summer Escape 2024,Google Ads,Alaya Ubud,2024-03-24,43180,1347,19495317.0,98,70,414220590,,
178,Summer Escape 2024,TikTok Ads,Katamama Resort,2024-02-25,52344,1292,7881579.0,133,97,634159907,,Broad
179,Long Weekend Promo,Google Ads,The Layar Seminyak,2024-03-08,52961,1812,17646558.0,52,37,127328618,,Retargeting
180,Flash Sale 48H,Google Ads,Bisma Eight,2024-03-05,57044,1690,17332999.0,74,46,170097558,CRE009,Interest
181,Flash Sale 48H,Google Ads,Katamama Resort,2024-01-10,23645,754,11936137.0,74,39,302538639,CRE024,Lookalike
182,Valentine Weekend,Google Ads,Bisma Eight,2024-02-11,71345,5084,542249.0,278,120,185300640,CRE031,Lookalike
183,Long Weekend Promo,Meta Ads,The Layar Seminyak,2024-02-25,60086,903,15442130.0,20,12,61741896,CRE006,Interest
184,Valentine Weekend,TikTok Ads,Komaneka Bisma,2024-03-15,6598,207,3454570.0,8,6,42048354,CRE011,Retargeting
185,Flash Sale 48H,Google Ads,Alaya Ubud,2024-03-12,31444,980,8814024.0,95,46,287322348,CRE043,Lookalike
186,Flash Sale 48H,Meta Ads,The Layar Seminyak,2024-01-14,31268,559,832855.0,58,48,226208928,CRE023,Broad
187,Valentine Weekend,Email Campaign,The Layar Seminyak,2024-02-14,77928,3032,13869597.0,184,64,127267712,CRE010,Retargeting
188,Eid Holiday Package,TikTok Ads,Komaneka Bisma,2024-02-15,31290,1445,17208168.0,46,17,75759361,CRE050,Broad
189,Flash Sale 48H,Meta Ads,Bisma Eight,2024-02-13,32455,1480,6874793.0,85,55,371253740,CRE015,Lookalike
190,Valentine Weekend,Meta Ads,The Layar Seminyak,2024-03-28,36942,533,9084919.0,38,25,136250800,,
191,eid holiday package,TikTok Ads,Katamama Resort,2024-02-28,10155,807,6106571.0,73,47,91940695,,Interest
192,Loyalty Member Deal,Email Campaign,The Layar Seminyak,2024-01-30,76328,5423,24368848.0,165,84,185567172,CRE010,Lookalike
193,Valentine Weekend,TikTok Ads,Alaya Ubud,2024-02-25,30632,1769,21461163.0,196,107,842527095,,Lookalike
194,Flash Sale 48H,Meta Ads,Bisma Eight,2024-02-14,20622,1394,2293089.0,84,39,81683667,CRE032,Retargeting
195,Loyalty Member Deal,Google Ads,Komaneka Bisma,2024-03-10,7043,428,10399724.0,36,11,42141088,CRE036,Lookalike
196,loyalty member deal,Organic,Katamama Resort,2024-02-24,31022,378,5941006.0,13,4,24393488,CRE006,Broad
197,Summer Escape 2024,TikTok Ads,Katamama Resort,2024-02-23,8004,110,22972337.0,3,1,2175537,,Interest
198, Flash Sale 48H,Email Campaign,The Mulia Nusa Dua,2024-01-23,38726,2428,6008679.0,52,33,261068808,CRE035,Retargeting
199,Valentine Weekend,TikTok Ads,Komaneka Bisma,2024-01-10,69719,2969,10448010.0,73,29,230444324,CRE050,Retargeting
200,Summer Escape 2024,Meta Ads,The Layar Seminyak,2024-01-09,77646,5726,,142,105,493720605,CRE035,Lookalike
201,Flash Sale 48H,Email Campaign,The Mulia Nusa Dua,2024-02-21,49837,2360,,272,168,743955744,CRE017,Interest
202,Eid Holiday Package,Meta Ads,The Mulia Nusa Dua,2024-01-30,60606,3234,17805563.0,331,211,438307979,CRE039,Broad
203,Summer Escape 2024,Organic,Bisma Eight,2024-01-22,46510,2472,18250383.0,261,167,410547122,CRE013,
204,Summer Escape 2024,TikTok Ads,The Layar Seminyak,2024-01-24,26306,1754,24357472.0,57,18,125707644,CRE019,Lookalike
205,Eid Holiday Package,Google Ads,Alaya Ubud,2024-02-23,17557,1200,20883195.0,128,70,467461680,,Broad
206,Flash Sale 48H,Organic,The Layar Seminyak,2024-03-18,56572,3173,12876364.0,295,112,373483712,CRE019,Broad
207,Flash Sale 48H ,Meta Ads,Katamama Resort,2024-03-04,68456,1484,7000594.0,40,18,34664256,CRE033,Retargeting
208,Valentine Weekend ,Email Campaign,The Layar Seminyak,2024-02-02,77768,2954,,331,117,417759147,CRE006,Retargeting
209,Eid Holiday Package,Email Campaign,The Mulia Nusa Dua,2024-02-07,2510,185,12274807.0,4,1,6800087,CRE021,
210,Loyalty Member Deal ,TikTok Ads,Komaneka Bisma,2024-01-28,38217,1849,13203441.0,52,40,140581560,CRE006,Lookalike
211,loyalty member deal,TikTok Ads,Katamama Resort,2024-02-12,22773,911,2560032.0,82,56,357730744,CRE043,Lookalike
212,Eid Holiday Package ,Email Campaign,The Mulia Nusa Dua,2024-03-11,77490,1013,23798122.0,27,22,117552116,,Retargeting
213,Eid Holiday Package,Email Campaign,The Layar Seminyak,2024-01-12,23289,1300,21324542.0,138,87,661801866,CRE014,Retargeting
214,Summer Escape 2024,Email Campaign,The Mulia Nusa Dua,2024-02-29,70870,3996,4755997.0,423,297,1918748304,CRE033,Broad
215,Long Weekend Promo,Email Campaign,Komaneka Bisma,2024-03-01,21496,1442,1202192.0,37,17,110716070,CRE046,Lookalike
216,Summer Escape 2024,Meta Ads,Komaneka Bisma,2024-03-30,50952,1025,6121575.0,76,34,52714314,CRE029,Retargeting
