pos_transaction_id,outlet_name,hotel_name,transaction_date,customer_id,item_name,category,quantity,unit_price,total_amount,payment_method,staff_id
POS-000027,Katamama Dining,Katamama Resort,2024-01-01,CUST00185,Nasi Goreng,Food,1,85000.0,85000,OVO,STF010
POS-000028,Katamama Dining,Katamama Resort,01 Jan 2024,,Smoothie,Beverage,4,77000.0,308000.0,Dana,STF011
POS-000029,Katamama Dining,Katamama Resort,01/01/2024,,Bintang Beer,Beverage,1,71500.0,"IDR 71,500",Dana,STF044
POS-000030,Katamama Dining,Katamama Resort,01 Jan 2024,CUST00233,Tiramisu,Dessert,1,85000.0,85000,GoPay,STF050
POS-000031,Katamama Dining,Katamama Resort,2024-01-01,,Nasi Goreng,Food,1,85000.0,85000,cash,STF017
POS-000031,Katamama Dining,Katamama Resort,2024-01-01,,Nasi Goreng,Food,1,85000.0,85000,cash,STF017
POS-000032,Katamama Dining,Katamama Resort,01-01-2024,,Bintang Beer,Beverage,3,65000.0,195000,Cash,STF023
POS-000033,Katamama Dining,,2024-01-01,CUST00158,coffee,Beverage,3,49500.00000000001,148500.00000000003,GoPay,STF049
POS-000034,Katamama Dining,Katamama Resort,01 Jan 2024,CUST00745,Kopi,Beverage,4,45000.0,"IDR 180,000",cash,STF017
POS-000035,Katamama Dining,Katamama Resort,20240101,CUST00225,nasi_goreng,Food,2,85000.0,170000,Credit Card,STF014
POS-000036,Katamama Dining,Katamama Resort,01-01-2024,CUST00125,Nasi Goreng,Food,3,85000.0,255000.00,OVO,STF028
POS-000037,Katamama Dining,Katamama Resort,01 Jan 2024,CUST00109,Smoothie,,2,63000.0,"IDR 126,000",OVO,STF048
POS-000038,Katamama Dining,Katamama Resort,01 Jan 2024,,Chocolate Lava Cake,Dessert,1,80000.0,80000,Dana,STF002
POS-000038,Katamama Dining,Katamama Resort,01 Jan 2024,,Chocolate Lava Cake,Dessert,1,80000.0,80000,Dana,STF002
POS-000039,Katamama Dining,Katamama Resort,01-01-2024,CUST00441,Bintang Beer,Beverage,2,65000.0,130000,GoPay,STF012
POS-000040,Katamama Dining,Katamama Resort,20240101,CUST00080,Club Sandwich,Food,4,121000.00000000001,"IDR 484,000",CC,STF018
POS-000041,Katamama Dining,Katamama Resort,20240101,CUST00132,Pasta Carbonara,Food,1,125000.0,125000,Dana,STF020
POS-000042,Katamama Dining,Katamama Resort,01/01/2024,CUST00195,Beef Burger,Food,2,148500.0,297000.0,Dana,STF005
POS-000043,Katamama Dining,,2024-01-01,CUST00752,Club Sandwich,Food,1,110000.0,"IDR 110,000",Cash,STF001
POS-000044,Katamama Dining,Katamama Resort,01-01-2024,CUST00749,Chocolate Lava Cake,Dessert,3,80000.0,240000,Cash,STF040
POS-000045,Katamama Dining,Katamama Resort,01-01-2024,CUST00044,Club Sandwich,Food,3,121000.00000000001,363000.00000000006,Credit Card,STF003
POS-000046,Katamama Dining,Katamama Resort,01 Jan 2024,CUST00644,Smoothie,Beverage,2,70000.0,140000.00,Dana,STF012
POS-000047,Katamama Dining,Katamama Resort,01/01/2024,CUST00608,Smoothie,,3,70000.0,210000,cash,STF036
POS-000048,Katamama Dining,Katamama Resort,01-01-2024,,Pasta Carbonara,Food,3,125000.0,"IDR 375,000",cash,STF006
POS-000049,Katamama Dining,Katamama Resort,01/01/2024,CUST00387,Pasta Carbonara,Food,4,125000.0,500000,cash,STF007
POS-000050,Katamama Dining,Katamama Resort,01-01-2024,CUST00681,Beef Burger,Food,2,121500.0,243000.0,CC,STF009
POS-000051,Katamama Dining,Katamama Resort,01-01-2024,CUST00537,Fresh Juice,Beverage,3,55000.0,165000,GoPay,STF002
POS-000052,Alaya Cafe,Alaya Ubud,2024-01-01,CUST00130,Coffee,Beverage,2,40500.0,81000,cash,STF023
POS-000053,Alaya Cafe,Alaya Ubud,2024-01-01,CUST00742,Fresh Juice,Beverage,1,55000.0,55000.00,OVO,STF041
POS-000054,Alaya Cafe,Alaya Ubud,20240101,CUST00129,Nasi Goreng,Food,2,,187000.00000000003,CC,STF047
POS-000055,Alaya Cafe,Alaya Ubud,01 Jan 2024,CUST00381,Fish & Chips,Food,1,115000.0,115000,Credit Card,STF045
POS-000056,Alaya Cafe,Alaya Ubud,01-01-2024,CUST00683,Smoothie,Beverage,3,63000.0,189000.00,OVO,STF046
POS-000057,Alaya Cafe,Alaya Ubud,2024-01-01,CUST00177,Tiramisu,Dessert,3,93500.00000000001,280500.00000000006,cash,STF002
POS-000058,Alaya Cafe,Alaya Ubud,01-01-2024,,Ice Cream,Dessert,3,60000.0,180000,OVO,STF030
POS-000059,Alaya Cafe,Alaya Ubud,2024-01-01,CUST00145,Sparkling Water,Beverage,3,40000.0,120000,CC,STF030
POS-000060,Alaya Cafe,Alaya Ubud,01/01/2024,CUST00545,Fish & Chips,Food,4,115000.0,460000.00,CC,STF016
POS-000061,Alaya Cafe,Alaya Ubud,2024-01-01,,Club Sandwich,Food,4,110000.0,440000,GoPay,STF029
POS-000062,Alaya Cafe,Alaya Ubud,01/01/2024,CUST00445,Club Sandwich,Food,4,99000.0,396000.00,cash,STF009
POS-000063,Alaya Cafe,Alaya Ubud,01-01-2024,CUST00499,Ice Cream,Dessert,2,66000.0,"IDR 132,000",OVO,STF003
POS-000064,Alaya Cafe,Alaya Ubud,01-01-2024,CUST00012,Ice Cream,Dessert,2,60000.0,120000,CC,STF008
POS-000065,Alaya Cafe,Alaya Ubud,01/01/2024,,Smoothie,Beverage,1,70000.0,70000,Cash,STF003
POS-000066,Alaya Cafe,Alaya Ubud,01-01-2024,,Club Sandwich,Food,2,110000.0,220000,GoPay,STF016
POS-000067,Alaya Cafe,Alaya Ubud,01 Jan 2024,CUST00219,Fresh Juice,Beverage,2,49500.0,99000,GoPay,STF022
POS-000068,Alaya Cafe,Alaya Ubud,20240101,CUST00030,Cocktail,Beverage,4,132000.0,528000.0,OVO,STF046
POS-000069,Alaya Cafe,Alaya Ubud,01-01-2024,CUST00375,Fish & Chips,Food,1,115000.0,115000,GoPay,STF025
POS-000070,Alaya Cafe,Alaya Ubud,2024-01-01,CUST00685,Sparkling Water,Beverage,3,36000.0,108000.0,GoPay,STF015
POS-000071,Alaya Cafe,Alaya Ubud,01-01-2024,,Club Sandwich,Food,3,99000.0,297000.0,CC,STF012
POS-000072,Alaya Cafe,Alaya Ubud,01 Jan 2024,CUST00313,Sparkling Water,Beverage,1,40000.0,40000,Dana,STF017
POS-000073,Alaya Cafe,Alaya Ubud,2024-01-01,CUST00116,Chocolate Lava Cake,Dessert,2,80000.0,160000,cash,STF013
POS-000074,Alaya Cafe,Alaya Ubud,01 Jan 2024,CUST00522,Club Sandwich,Food,2,110000.0,220000,Credit Card,STF049
POS-000075,Bisma Restaurant,,01/01/2024,CUST00721,Beef Burger,Food,4,135000.0,540000,OVO,STF001
POS-000076,Bisma Restaurant,Bisma Eight,01-01-2024,,Club Sandwich,Food,1,110000.0,110000,Credit Card,STF029
POS-000077,Bisma Restaurant,Bisma Eight,01-01-2024,CUST00329,Club Sandwich,Food,4,110000.0,440000,Dana,STF003
POS-000078,Bisma Restaurant,Bisma Eight,20240101,CUST00114,Fresh Juice,Beverage,3,,"IDR 165,000",OVO,STF008
POS-000079,Bisma Restaurant,Bisma Eight,01-01-2024,CUST00603,Club Sandwich,Food,2,121000.00000000001,242000.00,CC,STF035
POS-000079,Bisma Restaurant,Bisma Eight,01-01-2024,CUST00603,Club Sandwich,Food,2,121000.00000000001,242000.00,CC,STF035
POS-000080,Bisma Restaurant,Bisma Eight,20240101,CUST00592,Sparkling Water,Beverage,4,36000.0,144000.0,OVO,STF035
POS-000081,Bisma Restaurant,Bisma Eight,2024-01-01,CUST00112,Ice Cream,Dessert,2,54000.0,"IDR 108,000",Credit Card,STF034
POS-000082,Bisma Restaurant,Bisma Eight,20240101,CUST00191,Sparkling Water,Beverage,3,40000.0,120000,cash,STF017
POS-000083,Bisma Restaurant,Bisma Eight,01-01-2024,CUST00475,Tiramisu,Dessert,4,85000.0,340000,GoPay,STF015
POS-000084,Bisma Restaurant,Bisma Eight,01 Jan 2024,CUST00285,Sparkling Water,Beverage,4,36000.0,144000.0,Dana,STF020
POS-000085,Bisma Restaurant,Bisma Eight,20240101,CUST00388,cocktail,Beverage,3,120000.0,360000.00,CC,STF033
POS-000086,Bisma Restaurant,Bisma Eight,2024-01-01,CUST00025,Smoothie,Beverage,3,70000.0,210000,cash,STF033
POS-000087,Bisma Restaurant,Bisma Eight,20240101,CUST00466,Pasta Carbonara,Food,4,125000.0,"IDR 500,000",cash,STF044
POS-000087,Bisma Restaurant,Bisma Eight,20240101,CUST00466,Pasta Carbonara,Food,4,125000.0,"IDR 500,000",cash,STF044
POS-000088,Bisma Restaurant,Bisma Eight,20240101,CUST00214,Chocolate Lava Cake,,2,80000.0,160000.00,CC,STF043
POS-000089,Bisma Restaurant,Bisma Eight,01/01/2024,,Fish & Chips,Food,1,115000.0,115000,Dana,STF028
POS-000090,Bisma Restaurant,Bisma Eight,20240101,,Fresh Juice,,1,55000.0,55000.00,GoPay,STF031
POS-000091,Bisma Restaurant,Bisma Eight,01/01/2024,CUST00604,Sparkling Water,Beverage,3,36000.0,108000.0,OVO,STF031
POS-000092,Bisma Restaurant,Bisma Eight,20240101,,Caesar Salad,,3,95000.0,"IDR 285,000",OVO,STF035
POS-000093,Bisma Restaurant,Bisma Eight,20240101,,Nasi Goreng,Food,4,93500.00000000001,374000.00000000006,GoPay,STF025
POS-000094,Bisma Restaurant,Bisma Eight,2024-01-01,CUST00587,Tiramisu,Dessert,3,85000.0,255000,CC,STF048
POS-000095,Bisma Restaurant,Bisma Eight,01-01-2024,,Tiramisu,Dessert,3,85000.0,255000,CC,STF044
POS-000096,Bisma Restaurant,Bisma Eight,01-01-2024,CUST00536,Chocolate Lava Cake,Dessert,1,,72000.0,CC,STF048
POS-000097,Bisma Restaurant,Bisma Eight,01 Jan 2024,CUST00688,Beef Burger,Food,4,135000.0,540000,Credit Card,STF039
POS-000098,Bisma Restaurant,Bisma Eight,01 Jan 2024,CUST00487,Club Sandwich,Food,2,110000.0,"IDR 220,000",cash,STF040
POS-000099,Bisma Restaurant,Bisma Eight,01/01/2024,CUST00232,Pasta Carbonara,,2,137500.0,275000.0,OVO,STF013
POS-000100,Bisma Restaurant,Bisma Eight,01/01/2024,CUST00233,Cocktail,,4,120000.0,"IDR 480,000",OVO,STF033
POS-000100,Bisma Restaurant,Bisma Eight,01/01/2024,CUST00233,Cocktail,,4,120000.0,"IDR 480,000",OVO,STF033
POS-000101,Bisma Restaurant,Bisma Eight,01/01/2024,CUST00069,Coffee,Beverage,3,45000.0,135000.00,Cash,STF035
POS-000102,Bisma Restaurant,Bisma Eight,2024-01-01,,Fish & Chips,Food,3,115000.0,345000,OVO,STF034
POS-000103,Bisma Restaurant,Bisma Eight,01-01-2024,CUST00334,Coffee (hot),Beverage,2,45000.0,"IDR 90,000",CC,STF038
POS-000104,Bisma Restaurant,Bisma Eight,01/01/2024,CUST00125,Cocktail,,3,132000.0,396000.00,Dana,STF029
POS-000105,Mulia Gelato,The Mulia Nusa Dua,01 Jan 2024,CUST00345,Coffee,,2,45000.0,90000,GoPay,STF026
POS-000106,Mulia Gelato,The Mulia Nusa Dua,20240101,CUST00073,Beef Burger,Food,1,135000.0,135000,cash,STF028
POS-000107,Mulia Gelato,The Mulia Nusa Dua,01-01-2024,CUST00442,Pasta Carbonara,Food,1,125000.0,125000,cash,STF038
POS-000108,Mulia Gelato,,20240101,,Fresh Juice,Beverage,3,55000.0,165000,Credit Card,STF035
POS-000109,Mulia Gelato,The Mulia Nusa Dua,01-01-2024,CUST00595,Pasta Carbonara,Food,2,125000.0,250000,CC,STF017
POS-000110,Mulia Gelato,The Mulia Nusa Dua,01/01/2024,,Tiramisu,Dessert,2,93500.00000000001,"IDR 187,000",cash,STF017
POS-000111,Mulia Gelato,The Mulia Nusa Dua,2024-01-01,,Beef Burger,Food,3,135000.0,405000,CC,STF029
POS-000112,Mulia Gelato,The Mulia Nusa Dua,01/01/2024,CUST00473,Ice Cream,Dessert,2,66000.0,132000.0,cash,STF039
POS-000113,Mulia Gelato,The Mulia Nusa Dua,01-01-2024,,Beef Burger,Food,4,121500.0,486000.0,Cash,STF007
POS-000114,Mulia Gelato,The Mulia Nusa Dua,20240101,CUST00546,Club Sandwich,Food,2,110000.0,220000,Credit Card,STF049
POS-000115,Mulia Gelato,The Mulia Nusa Dua,01-01-2024,CUST00544,Beef Burger,Food,3,135000.0,405000,Credit Card,STF021
POS-000116,Mulia Gelato,The Mulia Nusa Dua,2024-01-01,CUST00097,Pasta Carbonara,Food,1,112500.0,112500.0,GoPay,STF009
POS-000117,Mulia Gelato,The Mulia Nusa Dua,01-01-2024,CUST00493,Ice Cream,Dessert,3,60000.0,180000,Credit Card,STF038
POS-000118,Mulia Gelato,The Mulia Nusa Dua,01 Jan 2024,,Nasi Goreng,Food,2,93500.00000000001,187000.00,GoPay,STF003
POS-000118,Mulia Gelato,The Mulia Nusa Dua,01 Jan 2024,,Nasi Goreng,Food,2,93500.00000000001,187000.00,GoPay,STF003
POS-000119,Mulia Gelato,The Mulia Nusa Dua,20240101,CUST00674,nasi goreng,Food,4,85000.0,340000,OVO,STF014
POS-000120,Mulia Gelato,The Mulia Nusa Dua,2024-01-01,CUST00050,coffee,,3,45000.0,135000,Credit Card,STF042
POS-000121,Mulia Gelato,The Mulia Nusa Dua,01/01/2024,,Cocktail,Beverage,1,108000.0,108000.0,OVO,STF031
POS-000122,Mulia Gelato,The Mulia Nusa Dua,01 Jan 2024,CUST00173,COFFEE,Beverage,1,49500.00000000001,49500.00000000001,GoPay,STF002
POS-000123,Mulia Gelato,The Mulia Nusa Dua,20240101,CUST00622,Fish & Chips,Food,4,115000.0,460000,cash,STF039
POS-000124,Mulia Gelato,The Mulia Nusa Dua,2024-01-01,CUST00784,Chocolate Lava Cake,Dessert,3,80000.0,240000,Credit Card,STF044
POS-000125,Mulia Gelato,,01-01-2024,CUST00425,Ice Cream,Dessert,1,60000.0,60000,Dana,STF025
POS-000126,Mulia Gelato,The Mulia Nusa Dua,2024-01-01,CUST00531,Club Sandwich,Food,3,,363000.00000000006,GoPay,STF015
POS-000127,Mulia Gelato,,01 Jan 2024,CUST00520,Smoothie,Beverage,4,63000.0,"IDR 252,000",Credit Card,STF045
POS-000128,Mulia Gelato,The Mulia Nusa Dua,01/01/2024,CUST00325,Club Sandwich,Food,1,99000.0,99000.0,CC,STF042
POS-000129,Mulia Gelato,The Mulia Nusa Dua,20240101,CUST00658,Fish & Chips,Food,2,126500.00000000001,253000.00000000003,CC,STF009
POS-000130,Mulia Gelato,The Mulia Nusa Dua,2024-01-01,CUST00682,Coffee,Beverage,3,45000.0,135000,OVO,STF016
POS-000131,Mulia Gelato,The Mulia Nusa Dua,01 Jan 2024,CUST00732,Club Sandwich,Food,4,110000.0,440000,Dana,STF024
POS-000132,Mulia Gelato,The Mulia Nusa Dua,01/01/2024,CUST00458,Club Sandwich,Food,3,110000.0,330000,OVO,STF025
POS-000133,Komaneka Kitchen,Komaneka Bisma,01-01-2024,CUST00627,Fish & Chips,Food,2,115000.0,"IDR 230,000",Credit Card,STF034
POS-000134,Komaneka Kitchen,Komaneka Bisma,01 Jan 2024,,Beef Burger,Food,4,121500.0,486000.00,cash,STF042
POS-000135,Komaneka Kitchen,Komaneka Bisma,20240101,CUST00589,NasiGoreng,Food,4,,374000.00,cash,STF025
POS-000136,Komaneka Kitchen,Komaneka Bisma,2024-01-01,CUST00272,Beef Burger,Food,1,148500.0,148500.0,OVO,STF026
POS-000137,Komaneka Kitchen,Komaneka Bisma,01 Jan 2024,CUST00704,Fish & Chips,Food,4,115000.0,460000,OVO,STF012
POS-000138,Komaneka Kitchen,Komaneka Bisma,01-01-2024,,Fish & Chips,Food,3,115000.0,345000,CC,STF018
POS-000139,Komaneka Kitchen,Komaneka Bisma,2024-01-01,CUST00011,Nasi Goreng,Food,3,85000.0,255000,Cash,STF031
POS-000139,Komaneka Kitchen,Komaneka Bisma,2024-01-01,CUST00011,Nasi Goreng,Food,3,85000.0,255000,Cash,STF031
POS-000140,Komaneka Kitchen,Komaneka Bisma,01-01-2024,CUST00099,Fish & Chips,Food,3,103500.0,310500.0,CC,STF014
POS-000141,Komaneka Kitchen,Komaneka Bisma,2024-01-01,CUST00590,Fish & Chips,Food,1,115000.0,115000,CC,STF034
POS-000142,Komaneka Kitchen,Komaneka Bisma,01-01-2024,CUST00030,Fish & Chips,,1,115000.0,115000,Cash,STF004
POS-000143,Komaneka Kitchen,Komaneka Bisma,01-01-2024,CUST00559,Coffee,Beverage,2,45000.0,90000,CC,STF041
POS-000144,Komaneka Kitchen,Komaneka Bisma,2024-01-01,CUST00028,Tiramisu,Dessert,4,76500.0,"IDR 306,000",CC,STF049
POS-000145,The Layar - Pool Bar,The Layar Seminyak,02/01/2024,,Tiramisu,Dessert,2,85000.0,170000,CC,STF020
POS-000146,The Layar - Pool Bar,The Layar Seminyak,01-02-2024,CUST00200,Fresh Juice,Beverage,2,55000.0,110000,Cash,STF042
POS-000147,The Layar - Pool Bar,The Layar Seminyak,01-02-2024,CUST00293,Ice Cream,Dessert,3,54000.0,162000.00,CC,STF017
POS-000148,The Layar - Pool Bar,The Layar Seminyak,02 Jan 2024,CUST00050,Chocolate Lava Cake,Dessert,3,72000.0,"IDR 216,000",OVO,STF015
POS-000149,The Layar - Pool Bar,The Layar Seminyak,01-02-2024,CUST00448,Caesar Salad,Food,3,95000.0,285000.00,Credit Card,STF010
POS-000150,The Layar - Pool Bar,The Layar Seminyak,02 Jan 2024,CUST00535,Smoothie,Beverage,4,63000.0,252000.0,GoPay,STF007
POS-000151,The Layar - Pool Bar,The Layar Seminyak,20240102,,Caesar Salad,,4,85500.0,342000.0,Credit Card,STF021
POS-000152,The Layar - Pool Bar,The Layar Seminyak,20240102,,Chocolate Lava Cake,Dessert,1,80000.0,"IDR 80,000",GoPay,STF029
POS-000153,The Layar - Pool Bar,,02/01/2024,CUST00416,Chocolate Lava Cake,Dessert,1,80000.0,80000,GoPay,STF013
POS-000153,The Layar - Pool Bar,,02/01/2024,CUST00416,Chocolate Lava Cake,Dessert,1,80000.0,80000,GoPay,STF013
POS-000154,The Layar - Pool Bar,The Layar Seminyak,20240102,CUST00511,Caesar Salad,Food,3,95000.0,285000,Credit Card,STF044
POS-000155,The Layar - Pool Bar,The Layar Seminyak,01-02-2024,CUST00540,Club Sandwich,Food,4,99000.0,396000.00,Dana,STF027
POS-000156,The Layar - Pool Bar,The Layar Seminyak,2024-01-02,CUST00543,Chocolate Lava Cake,Dessert,1,80000.0,80000,CC,STF031
POS-000157,The Layar - Pool Bar,The Layar Seminyak,02 Jan 2024,CUST00790,Bintang Beer,,3,65000.0,195000.00,Cash,STF026
POS-000158,The Layar - Pool Bar,The Layar Seminyak,20240102,CUST00212,Tiramisu,Dessert,2,93500.00000000001,187000.00,Dana,STF014
POS-000159,The Layar - Pool Bar,The Layar Seminyak,01-02-2024,CUST00132,Bintang Beer,Beverage,1,58500.0,58500.0,GoPay,STF021
POS-000160,The Layar - Pool Bar,The Layar Seminyak,2024-01-02,CUST00277,Caesar Salad,Food,2,85500.0,171000.0,Cash,STF044
POS-000161,The Layar - Pool Bar,The Layar Seminyak,2024-01-02,CUST00635,Fish & Chips,Food,3,103500.0,310500,Dana,STF016
POS-000162,The Layar - Pool Bar,The Layar Seminyak,2024-01-02,CUST00623,Nasi Goreng,Food,4,85000.0,340000,CC,STF040
POS-000163,The Layar - Pool Bar,The Layar Seminyak,02 Jan 2024,CUST00261,Caesar Salad,Food,3,95000.0,285000,Dana,STF019
POS-000164,The Layar - Pool Bar,The Layar Seminyak,2024-01-02,,Fresh Juice,Beverage,4,49500.0,198000.00,Credit Card,STF045
POS-000165,The Layar - Pool Bar,The Layar Seminyak,02/01/2024,CUST00120,Pasta Carbonara,Food,3,125000.0,375000,GoPay,STF005
POS-000166,Katamama Lobby Bar,Katamama Resort,02 Jan 2024,CUST00683,Fish & Chips,,3,115000.0,345000,Credit Card,STF005
POS-000167,Katamama Lobby Bar,Katamama Resort,01-02-2024,CUST00644,Fish & Chips,Food,2,115000.0,230000,Credit Card,STF042
POS-000168,Katamama Lobby Bar,Katamama Resort,02/01/2024,,Sparkling Water,Beverage,1,36000.0,36000.0,CC,STF046
POS-000169,Katamama Lobby Bar,Katamama Resort,02 Jan 2024,CUST00639,Sparkling Water,Beverage,2,44000.0,88000.0,Cash,STF047
POS-000170,Katamama Lobby Bar,Katamama Resort,01-02-2024,CUST00341,Chocolate Lava Cake,Dessert,4,80000.0,320000,GoPay,STF006
POS-000171,Katamama Lobby Bar,Katamama Resort,01-02-2024,,Club Sandwich,Food,1,121000.00000000001,121000,cash,STF003
POS-000172,Katamama Lobby Bar,Katamama Resort,20240102,CUST00008,Beef Burger,Food,2,135000.0,270000,OVO,STF016
POS-000173,Katamama Lobby Bar,Katamama Resort,2024-01-02,CUST00714,Bintang Beer,Beverage,4,65000.0,260000,Dana,STF023
POS-000174,Katamama Lobby Bar,Katamama Resort,02/01/2024,CUST00651,Ice Cream,Dessert,4,54000.0,216000.00,OVO,STF045
POS-000175,Katamama Lobby Bar,Katamama Resort,02/01/2024,CUST00766,Sparkling Water,Beverage,1,40000.0,40000,Cash,STF019
POS-000176,Katamama Lobby Bar,Katamama Resort,02/01/2024,,Club Sandwich,Food,4,99000.0,396000.0,CC,STF043
POS-000177,Katamama Lobby Bar,Katamama Resort,2024-01-02,CUST00164,Tiramisu,Dessert,4,76500.0,306000.0,CC,STF021
POS-000178,Katamama Lobby Bar,Katamama Resort,01-02-2024,,Club Sandwich,Food,1,121000.00000000001,121000.00,OVO,STF035
POS-000179,Katamama Lobby Bar,Katamama Resort,2024-01-02,CUST00117,Tiramisu,Dessert,2,85000.0,170000.00,Cash,STF045
POS-000180,Katamama Lobby Bar,Katamama Resort,02 Jan 2024,CUST00528,Tiramisu,Dessert,3,85000.0,255000,cash,STF047
POS-000180,Katamama Lobby Bar,Katamama Resort,02 Jan 2024,CUST00528,Tiramisu,Dessert,3,85000.0,255000,cash,STF047
POS-000181,Katamama Lobby Bar,Katamama Resort,01-02-2024,CUST00745,Smoothie,Beverage,4,,280000.00,Dana,STF014
POS-000182,Katamama Lobby Bar,Katamama Resort,2024-01-02,CUST00554,Tiramisu,,3,85000.0,255000,OVO,STF011
POS-000183,Katamama Lobby Bar,Katamama Resort,01-02-2024,CUST00019,Cocktail,Beverage,4,132000.0,528000.00,GoPay,STF021
POS-000184,Katamama Lobby Bar,Katamama Resort,02/01/2024,CUST00271,Pasta Carbonara,Food,3,125000.0,375000,Credit Card,STF044
POS-000185,Katamama Lobby Bar,Katamama Resort,2024-01-02,CUST00337,Smoothie,Beverage,4,77000.0,308000,Cash,STF003
POS-000186,Katamama Lobby Bar,Katamama Resort,20240102,CUST00413,Fresh Juice,Beverage,4,55000.0,"IDR 220,000",CC,STF011
POS-000187,Katamama Lobby Bar,Katamama Resort,01-02-2024,CUST00647,Beef Burger,Food,4,148500.0,594000.0,GoPay,STF019
POS-000187,Katamama Lobby Bar,Katamama Resort,01-02-2024,CUST00647,Beef Burger,Food,4,148500.0,594000.0,GoPay,STF019
POS-000188,Katamama Lobby Bar,Katamama Resort,2024-01-02,,Ice Cream,Dessert,4,66000.0,"IDR 264,000",Cash,STF048
POS-000189,Katamama Lobby Bar,Katamama Resort,02/01/2024,CUST00597,Beef Burger,Food,4,135000.0,"IDR 540,000",Credit Card,STF015
POS-000190,Katamama Lobby Bar,Katamama Resort,20240102,CUST00286,Coffee,Beverage,4,49500.00000000001,198000.00000000003,Cash,STF040
POS-000191,Katamama Lobby Bar,Katamama Resort,20240102,CUST00551,Kopi,Beverage,1,40500.0,40500.0,Cash,STF001
POS-000192,Katamama Lobby Bar,Katamama Resort,02/01/2024,,Smoothie,Beverage,2,77000.0,154000.00,Dana,STF005
